sku	asin	price	quantity
0W-4O64-E9IC	B00IMWTCZW	25.00	
IP5-0001	B00IMQKRM0	25.00	
IP5-0002	B00IMWR1UU	25.00	
IP5-0004	B00IMX75D2	25.00	
IP5-0005	B00IMXNMN4	25.00	
IP5-0006	B00IMXTPF8	25.00	
IP5-0007	B00IMY4FZW	25.00	
IP5-0008	B00IMYER96	25.00	
IP5-0009	B00IMYHAT0	25.00	
IP5-0010	B00IMYIJGS	25.00	
IP5-0011	B00INI45WA	25.00	
IP5-0012	B00INI5TZM	25.00	
IP5-0013	B00INI7FUY	25.00	
IP5-0014	B00INI8SNW	25.00	
IP5-0015	B00INIALIM	25.00	
IP5-0016	B00INIBSTS	25.00	
IP5-0017	B00INID8SM	25.00	
IP5-0018	B00INIEHTQ	25.00	
IP5-0019	B00INIFYK2	25.00	
IP5-0020	B00INIH52M	25.00	
IP5-0021	B00INII0N0	25.00	
IP5-0022	B00INIJ8W2	25.00	
IP5-0023	B00INIKVPU	25.00	
IP5-0024	B00ININ6AM	25.00	
IP5-0025	B00INIOB2E	25.00	
IP5-0026	B00INIPTXY	25.00	
IP5-0027	B00INIQOWO	25.00	
IP5-0028	B00INIS96I	25.00	
IP5-0029	B00INITOEE	25.00	
IP5-0030	B00INIV3UC	25.00	
IP5-0031	B00INJ1DPQ	25.00	
IP5-0032	B00INJ1ZZE	25.00	
IP5-0033	B00INJ2W24	25.00	
IP5-0034	B00INJ3O80	25.00	
IP5-0035	B00INJ4KI8	25.00	
IP5-0036	B00INJ5QRW	25.00	
IP5-0037	B00INJ6VR6	25.00	
IP5-0038	B00INJ8UPC	25.00	
IP5-0039	B00INJAQGI	25.00	
IP5-0040	B00INJCFSK	25.00	
IP5-0041	B00INJLYQE	25.00	
IP5-0042	B00INJN4AS	25.00	
IP5-0043	B00INJO2T0	25.00	
IP5-0044	B00INJP8CK	25.00	
IP5-0045	B00INJQDRO	25.00	
IP5-0046	B00INJSC1E	25.00	
IP5-0047	B00INJTQCS	25.00	
IP5-0048	B00INJVEM8	25.00	
IP5-0049	B00INJWZ4E	25.00	
IP5-0050	B00INJYJXE	25.00	
IP5-0051	B00INLM9SY	25.00	
IP5-0052	B00INLN6KY	25.00	
IP5-0053	B00INLO2IE	25.00	
IP5-0054	B00INLOPKE	25.00	
IP5-0055	B00INLPSGO	25.00	
IP5-0056	B00INLR6VY	25.00	
IP5-0057	B00INNITOU	25.00	
IP5-0058	B00INNKUDS	25.00	
IP5-0059	B00INNN23S	25.00	
IP5-0060	B00INNOZA2	25.00	
IP5-0061	B00INNQX16	25.00	
IP5-0062	B00INNUUQU	25.00	
IP5-0063	B00INNXEOA	25.00	
IP5-0064	B00INO0BQS	25.00	
IP5-0065	B00INO2TXG	25.00	
IP5-0066	B00INO5II4	25.00	
IP5-0067	B00INO7XFA	25.00	
IP5-0068	B00INOAKZA	25.00	
IP5-0069	B00INODKR0	25.00	
IP5-0070	B00INOHZOE	25.00	
IP5-0071	B00INOL9AU	25.00	
IP5-0072	B00INOOWLS	25.00	
IP5-0073	B00INORP3U	25.00	
IP5-0074	B00INOU83O	25.00	
IP5-0075	B00INOWU2G	25.00	
IP5-0076	B00INP0RYI	25.00	
IP5-0077	B00INP53PG	25.00	
IP5-0078	B00INP9EO2	25.00	
IP5-0079	B00INPDGIW	25.00	
IP5-0080	B00INPHYXA	25.00	
IP5-0081	B00INPN8Y4	25.00	
IP5-0082	B00INPT5ZK	25.00	
IP5-0083	B00INPWX5Y	25.00	
IP5-0084	B00INQ0SN2	25.00	
IP5-0085	B00INQ4LB2	25.00	
IP5-0086	B00INQ7H0Y	25.00	
IP5-0087	B00INQ9X7O	25.00	
IP5-0088	B00INQBZRA	25.00	
IP5-0089	B00INQD8YI	25.00	
IP5-0090	B00INQES5Q	25.00	
IP5-0091	B00INQG4DU	25.00	
IP5-0092	B00INQHU74	25.00	
IP5-0093	B00INQJS6K	25.00	
IP5-0094	B00INQLOVC	25.00	
IP5-0095	B00INQO59A	25.00	
IP5-0096	B00INQPTN6	25.00	
IP5-0097	B00INQRB32	25.00	
IP5-0098	B00INQSSQQ	25.00	
IP5-0099	B00INQUCWE	25.00	
IP5-0100	B00INQVVEC	25.00	
